word,tags1
된장,TOPIK 1
된장찌개,TOPIK 1
두,TOPIK 1
두껍다,TOPIK 1
두다,TOPIK 1
두부,TOPIK 1
두세,TOPIK 1
두통,TOPIK 1
둘,TOPIK 1
둘째,TOPIK 1
뒤,TOPIK 1
뒤쪽,TOPIK 1
드디어,TOPIK 1
드라마,TOPIK 1
드리다,TOPIK 1
듣다,TOPIK 1
들다,TOPIK 1
들르다,TOPIK 1
들어가다,TOPIK 1
들어오다,TOPIK 1
등산,TOPIK 1
디자인,TOPIK 1
따뜻하다,TOPIK 1
따로,TOPIK 1
딸,TOPIK 1
딸기,TOPIK 1
땀,TOPIK 1
땅,TOPIK 1
떠나다,TOPIK 1
떠들다,TOPIK 1
떡,TOPIK 1
떡국,TOPIK 1
떡볶이,TOPIK 1
떨어지다,TOPIK 1
또,TOPIK 1
또는,TOPIK 1
똑같다,TOPIK 1
똑같이,TOPIK 1
똑똑하다,TOPIK 1
똑바로,TOPIK 1
뚱뚱하다,TOPIK 1
뛰어가다,TOPIK 1
뜨겁다,TOPIK 1
뜻,TOPIK 1
라디오,TOPIK 1
라면,TOPIK 1
러시아,TOPIK 1
레스토랑,TOPIK 1
마당,TOPIK 1
마르다,TOPIK 1
마리,TOPIK 1
마시다,TOPIK 1
마을,TOPIK 1
마음,TOPIK 1
마중,TOPIK 1
마지막,TOPIK 1
마치다,TOPIK 1
마트,TOPIK 1
마흔,TOPIK 1
막걸리,TOPIK 1
막히다,TOPIK 1
만,TOPIK 1
만나다,TOPIK 1
만두,TOPIK 1
만들다,TOPIK 1
만약,TOPIK 1
만일,TOPIK 1
만지다,TOPIK 1
만화,TOPIK 1
많다,TOPIK 1
많이,TOPIK 1
말,TOPIK 1
말,TOPIK 1
말레이시아,TOPIK 1
말씀,TOPIK 1
맑다,TOPIK 1
맛,TOPIK 1
맛없다,TOPIK 1
맛있다,TOPIK 1
맞추다,TOPIK 1
매년,TOPIK 1
매다,TOPIK 1
매달,TOPIK 1
매우,TOPIK 1
매일,TOPIK 1
매주,TOPIK 1
매표소,TOPIK 1
맥주,TOPIK 1
맵다,TOPIK 1
머리,TOPIK 1
머리카락,TOPIK 1
먹다,TOPIK 1
먼저,TOPIK 1
멀다,TOPIK 1
멀리,TOPIK 1
멈추다,TOPIK 1
멋,TOPIK 1
멋있다,TOPIK 1
메뉴,TOPIK 1
메다,TOPIK 1
메모,TOPIK 1
메시지,TOPIK 1
메일,TOPIK 1
며칠,TOPIK 1
명절,TOPIK 1
몇,TOPIK 1
모기,TOPIK 1
모두,TOPIK 1
모든,TOPIK 1
모레,TOPIK 1
모르다,TOPIK 1
모습,TOPIK 1
모시다,TOPIK 1
모양,TOPIK 1
모으다,TOPIK 1
모이다,TOPIK 1
모임,TOPIK 1
모자라다,TOPIK 1
목,TOPIK 1
목걸이,TOPIK 1
목도리,TOPIK 1
목소리,TOPIK 1
목요일,TOPIK 1
목욕,TOPIK 1
목욕탕,TOPIK 1
목적,TOPIK 1
몸,TOPIK 1
못생기다,TOPIK 1
못하다,TOPIK 1
몽골,TOPIK 1
무,TOPIK 1
무겁다,TOPIK 1
무게,TOPIK 1
무궁화,TOPIK 1
무료,TOPIK 1
무릎,TOPIK 1
무섭다,TOPIK 1
무슨,TOPIK 1
무엇,TOPIK 1
무척,TOPIK 1
문,TOPIK 1
문제,TOPIK 1
문화,TOPIK 1
물,TOPIK 1
물건,TOPIK 1
물고기,TOPIK 1
물론,TOPIK 1
물어보다,TOPIK 1
뭐,TOPIK 1
미국,TOPIK 1
미끄러지다,TOPIK 1
미래,TOPIK 1
미리,TOPIK 1
미술관,TOPIK 1
미안,TOPIK 1
미역국,TOPIK 1
미용실,TOPIK 1
미터,TOPIK 1
믿다,TOPIK 1
밀가루,TOPIK 1
밀다,TOPIK 1
밑,TOPIK 1
바깥,TOPIK 1
바깥쪽,TOPIK 1
바꾸다,TOPIK 1
바뀌다,TOPIK 1
바나나,TOPIK 1
바다,TOPIK 1
바닥,TOPIK 1
바닷가,TOPIK 1
바라다,TOPIK 1
바라보다,TOPIK 1
바로,TOPIK 1
바쁘다,TOPIK 1
바이올린,TOPIK 1
바지,TOPIK 1
박물관,TOPIK 1
박수,TOPIK 1
밖,TOPIK 1
반,TOPIK 1
반,TOPIK 1
반갑다,TOPIK 1
반대,TOPIK 1
반드시,TOPIK 1
반바지,TOPIK 1
반지,TOPIK 1
반찬,TOPIK 1
받다,TOPIK 1
받아쓰다,TOPIK 1
발,TOPIK 1
발가락,TOPIK 1
발바닥,TOPIK 1
밝다,TOPIK 1
밥,TOPIK 1
방,TOPIK 1
방금,TOPIK 1
방문,TOPIK 1
방법,TOPIK 1
방송,TOPIK 1
방송국,TOPIK 1
방학,TOPIK 1
방향,TOPIK 1
배,TOPIK 1
배달,TOPIK 1
배드민턴,TOPIK 1
배우,TOPIK 1
배우다,TOPIK 1
배추,TOPIK 1
배탈,TOPIK 1
백,TOPIK 1
백만,TOPIK 1
백화점,TOPIK 1
뱀,TOPIK 1
버릇,TOPIK 1
버리다,TOPIK 1
버스,TOPIK 1
번,TOPIK 1
번째,TOPIK 1
번호,TOPIK 1
벌,TOPIK 1
벌다,TOPIK 1
벌써,TOPIK 1
벗다,TOPIK 1
베트남,TOPIK 1
벽,TOPIK 1
변하다,TOPIK 1
변호사,TOPIK 1
별로,TOPIK 1
병,TOPIK 1
병문안,TOPIK 1
병원,TOPIK 1
보내다,TOPIK 1
보다,TOPIK 1
보라색,TOPIK 1
보이다,TOPIK 1
보통,TOPIK 1
복습,TOPIK 1
복잡하다,TOPIK 1
볶다,TOPIK 1
볶음밥,TOPIK 1
볼펜,TOPIK 1
봄,TOPIK 1
봉투,TOPIK 1
뵙다,TOPIK 1
부끄럽다,TOPIK 1
부드럽다,TOPIK 1
부럽다,TOPIK 1
부르다,TOPIK 1
부모님,TOPIK 1
부부,TOPIK 1
부분,TOPIK 1
부산,TOPIK 1
부엌,TOPIK 1
부장,TOPIK 1
부지런하다,TOPIK 1
부치다,TOPIK 1
부탁,TOPIK 1
북쪽,TOPIK 1
분,TOPIK 1
분,TOPIK 1
분명하다,TOPIK 1
분식,TOPIK 1
분위기,TOPIK 1
분홍색,TOPIK 1
불,TOPIK 1
불고기,TOPIK 1
불다,TOPIK 1
불쌍하다,TOPIK 1
불안,TOPIK 1
불편,TOPIK 1
붉다,TOPIK 1
